WSPD,WVHT
5.9,99
5.5,99
5.6,99
6.3,99
6.2,99
5.8,99
5.8,99
5.8,99
5.4,99
5.8,99
5.6,99
5.5,99
5.9,99
6.1,99
6.5,99
6.1,99
6,99
5.9,99
6.1,99
6.3,99
5.9,99
5.6,99
5.6,99
5.8,99
5.9,99
5.8,99
6.1,99
6.6,99
6.5,99
6.1,99
6.3,99
6.4,99
6.6,99
6.2,99
6.4,99
6.1,99
6.2,99
5.5,99
5.8,99
5.6,99
5.8,99
5.4,99
5.1,99
4.6,99
4.7,99
4.5,99
4.2,99
4.5,99
4.8,99
4.6,99
4.6,99
4.5,99
4.7,99
4.3,99
4.4,99
5,99
4.4,99
4.8,99
4.4,99
4.7,99
4.7,99
4.8,99
5,99
5.3,99
5.2,99
5.2,99
5.2,99
5.3,99
5.6,99
5.3,99
6,99
5.5,99
5.8,99
5.8,99
5.8,99
5.7,99
5.3,99
5.4,99
5.3,99
5.7,99
6,99
5.9,99
6.5,99
6.5,99
6.7,99
6.7,99
6.5,99
6.6,99
6.5,99
6.3,99
6.4,99
6.8,99
6.5,99
6.1,99
6.3,99
6.4,99
5.9,99
6.2,99
6.2,99
6.6,99
6.3,99
6.1,99
6.2,99
5.9,99
5.9,99
5.6,99
5.3,99
5.4,99
5.2,99
5.4,99
5,99
4.7,99
5.1,99
4.8,99
4.7,99
4.4,99
4.3,99
4.8,99
4.8,99
4.9,99
5.3,99
5.8,99
5.8,99
5.4,99
5.2,99
5.1,99
5.1,99
5.5,99
5.3,99
4.9,99
5.1,99
4.6,99
4.7,99
4.9,99
4.4,99
4.5,99
4.5,99
4.4,99
5,99
4.6,99
4.9,99
5.1,99
5.1,99
5.2,99
5.1,99
4.6,99
5.1,99
5,99
5,99
4.8,99
5.2,99
5.3,99
4.7,99
4.7,99
5,99
5.2,99
5.4,99
5,99
5.2,99
5,99
4.9,99
4.8,99
4.6,99
4.4,99
3.9,99
3.7,99
3.6,99
3.7,99
3.7,99
3.7,99
3.2,99
3.7,99
3.5,99
4,99
4.1,99
4.2,99
4.3,99
4.4,99
4.4,99
4.7,99
4.8,99
4.8,99
4.7,99
4.6,99
4.6,99
4.5,99
4.1,99
4.5,99
4.6,99
4.4,99
4.6,99
5.1,99
5,99
4.9,99
5.1,99
5,99
5.1,99
5.1,99
5,99
4.8,99
5,99
5.1,99
5.8,99
4.9,99
5.4,99
5.5,99
5.5,99
5.5,99
5.2,99
5.8,99
5.5,99
5.3,99
5.6,99
6,99
6.3,99
6.2,99
5.9,99
5.8,99
5.8,99
5.9,99
6,99
6,99
5.9,99
6.1,99
6.1,99
6.3,99
6.2,99
5.9,99
6.5,99
6.4,99
6.1,99
6.2,99
6,99
5.8,99
5.8,99
5.7,99
5.5,99
5.2,99
5.6,99
5.4,99
5.5,99
5.7,99
5.9,99
5.8,99
5.7,99
5.3,99
5.6,99
5.5,99
5.6,99
5.7,99
5.1,99
5.5,99
5.4,99
5.4,99
5.4,99
5.4,99
4.8,99
5.3,99
5.3,99
5.6,99
5.9,99
6,99
5.8,99
5.8,99
5.8,99
5.8,99
5.9,99
5.8,99
5.7,99
6,99
6.2,99
6.1,99
6.1,99
5.4,99
5.6,99
5.6,99
5.5,99
5.4,99
5.7,99
5.3,99
5.5,99
5.2,99
5.2,99
5.1,99
5.5,99
5.2,99
5.5,99
5.2,99
5.3,99
5.3,99
5.8,99
5.9,99
6.1,99
5.8,99
6,99
5.9,99
6,99
6.1,99
6.2,99
6.3,99
6.7,99
7.1,99
7.7,99
7.3,99
7.6,99
7.7,99
7.9,99
7.8,99
8.2,99
8.3,99
8.3,99
8.1,99
8.2,99
8.3,99
8.7,99
8.3,99
8.3,99
8.1,99
8.3,99
8.5,99
8.7,99
8.7,99
9,99
8.7,99
9.1,99
8.9,99
8.8,99
8.4,99
8.5,99
8.4,99
8.5,99
8.5,99
8.3,99
8.3,99
7.8,99
7.7,99
7.8,99
7.5,99
7.3,99
7.8,99
7.9,99
7.8,99
7.9,99
7.6,99
7.6,99
7.3,99
7.7,99
7.6,99
7.7,99
7.6,99
7.6,99
7.9,99
8.1,99
7.7,99
7.7,99
7.8,99
7.5,99
8.3,99
8.2,99
8.1,99
8,99
8.2,99
8.3,99
8.6,99
8.7,99
8.8,99
9,99
9.3,99
9.4,99
9.4,99
9.2,99
9.2,99
9.4,99
9.2,99
9.2,99
9.3,99
9.1,99
9.1,99
9.2,99
8.8,99
9.1,99
8.5,99
9.3,99
9.1,99
9.5,99
9.9,99
10,99
10.3,99
10.4,99
10.2,99
9.3,99
9.5,99
9.8,99
9.5,99
9.2,99
9.3,99
9.5,99
9.6,99
9.6,99
9.3,99
9.6,99
9.5,99
9.5,99
9.6,99
9.4,99
9.4,99
9.5,99
9.6,99
9.2,99
9.2,99
9.2,99
9.4,99
9.1,99
9.3,99
9.1,99
8.9,99
8.7,99
8.9,99
9.1,99
8.4,99
8.6,99
8.7,99
8.8,99
8.3,99
8.9,99
9.1,99
9.2,99
9.2,99
8.9,99
8.9,99
9.2,99
9.4,99
9.3,99
9.3,99
8.9,99
9.3,99
9.9,99
9.9,99
10,99
9.8,99
10.1,99
10.3,99
10,99
9.2,99
10.2,99
10.1,99
9.8,99
9.7,99
10.5,99
9.6,99
9.9,99
9.9,99
9.4,99
9.5,99
9.8,99
9.9,99
9.4,99
10.3,99
10.2,99
9.8,99
10.2,99
9.8,99
10.2,99
10.2,99
10.6,99
9.7,99
9.5,99
9.8,99
10.2,99
10,99
10.1,99
10.5,99
10.7,99
10.2,99
9.8,99
10.1,99
10.4,99
9.9,99
10.1,99
10.5,99
11.3,99
11.5,99
10.9,99
11,99
11.4,99
11.6,99
11.5,99
11.9,99
11.3,99
10.8,99
10.6,99
11,99
11.3,99
11.7,99
11.2,99
11.4,99
10.8,99
11.1,99
10.8,99
10.9,99
10.9,99
10.8,99
11.3,99
11.3,99
10.6,99
11,99
10.5,99
10.2,99
11.3,99
11.2,99
11.5,99
11.3,99
11.4,99
11.3,99
11.1,99
10.7,99
10.2,99
10.7,99
10.6,99
10.5,99
10.9,99
10.8,99
10.7,99
10.3,99
9.6,99
9.6,99
9.1,99
9.7,99
9.4,99
9.5,99
8.9,99
8.4,99
8.7,99
8.9,99
9,99
8.6,99
8.6,99
8.1,99
8.4,99
8.5,99
8.5,99
8.4,99
7.7,99
7.8,99
8.4,99
8,99
8.1,99
8,99
7.8,99
7.6,99
7.5,99
7.1,99
7,99
7.1,99
7.8,99
7.5,99
7.1,99
7.8,99
8.2,99
8,99
8,99
8.1,99
7.3,99
7.5,99
7.7,99
8.3,99
8,99
8.4,99
8.2,99
7.5,99
7.8,99
8.1,99
7.8,99
7.8,99
7.7,99
7.3,99
7.3,99
7.8,99
7.7,99
7.7,99
7.5,99
7.9,99
7.6,99
7.7,99
8.1,99
7.7,99
7.9,99
8.1,99
7.7,99
8.1,99
11.6,99
11.2,99
10.3,99
10,99
10.7,99
10.8,99
11.2,99
11.3,99
11,99
11.4,99
11.3,99
10.5,99
10.7,99
10.2,99
10,99
10.6,99
10.6,99
10.3,99
10.5,99
10.9,99
11.2,99
11.3,99
11.3,99
11.2,99
11.5,99
11.3,99
11.3,99
11.5,99
11,99
10.9,99
10.7,99
10.6,99
10.9,99
10.8,99
10.3,99
10.6,99
10.5,99
11,99
10.1,99
10.5,99
10.1,99
9.7,99
9.9,99
9.8,99
10.2,99
9.9,99
9.9,99
10.4,99
10.7,99
10.6,99
10.2,99
10.4,99
10.8,99
10,99
10.4,99
10.3,99
10.2,99
10.6,99
10.5,99
10.1,99
10,99
10.2,99
10.1,99
9.7,99
10.1,99
10.2,99
10.1,99
9.5,99
9.8,99
9.8,99
9.4,99
9.7,99
9.7,99
9.2,99
9.4,99
9.8,99
9.8,99
9.8,99
9.8,99
9.8,99
10.1,99
9.6,99
9.8,99
9.4,99
9.5,99
9.6,99
9.4,99
9,99
9,99
9.7,99
9.3,99
8.5,99
8.9,99
8.9,99
9,99
8.7,99
8.8,99
9.1,99
8.7,99
8.4,99
8.5,99
8.9,99
8.5,99
8.2,99
8.4,99
8.8,99
8.3,99
8.3,99
7.9,99
8.6,99
8.5,99
7.9,99
7.6,99
8.1,99
7.6,99
7.3,99
7.9,99
7.9,99
7.6,99
7.8,99
7.8,99
7.7,99
7.6,99
7.6,99
7.3,99
8,99
7.7,99
8.3,99
7.9,99
7.3,99
7.5,99
7.8,99
7.3,99
7.8,99
8.2,99
7.5,99
7.5,99
7.2,99
7.5,99
9.1,99
8.6,99
8.1,99
8.4,99
8.5,99
8.9,99
8.4,99
7.4,99
7.7,99
7.6,99
7.7,99
7,99
8.2,99
7.8,99
7.9,99
7.3,99
6.9,99
6.9,99
6.5,99
6.8,99
6.8,99
6.6,99
7,99
7.2,99
6.8,99
6.9,99
6.3,99
5.6,99
5.7,99
5.3,99
5.5,99
5.2,99
5.5,99
5.1,99
5.2,99
5,99
5.7,99
5.5,99
5.4,99
4.9,99
5,99
5.4,99
5.6,99
5.2,99
5,99
5.4,99
5.6,99
5.8,99
6.3,99
7.1,99
7.3,99
7.2,99
6.3,99
6.7,99
6.4,99
6.4,99
6.4,99
6.3,99
6.4,99
6.2,99
6.3,99
6.3,99
6.3,99
6.8,99
6.8,99
7,99
6.9,99
6.7,99
6.5,99
6,99
6.3,99
6.1,99
6.1,99
6.5,99
6.4,99
6.5,99
6.4,99
6,99
6.6,99
5.7,99
5.8,99
5.8,99
5,99
5.3,99
5.5,99
4.8,99
5.2,99
6.3,99
6.4,99
6.9,99
6.7,99
5.7,99
5.3,99
5.6,99
5.7,99
5.9,99
6.2,99
6.3,99
6.1,99
6.4,99
6.8,99
6.7,99
6.1,99
6.1,99
5.8,99
6.2,99
6.1,99
6,99
6.2,99
5.7,99
5,99
4.8,99
6,99
6.3,99
6.3,99
6.2,99
6.3,99
6.6,99
6.1,99
5.9,99
5.4,99
5.8,99
6.1,99
5.7,99
5.8,99
5.6,99
6,99
6,99
6.3,99
6.2,99
6.5,99
6.4,99
6.5,99
6.5,99
7,99
6.1,99
6.4,99
6.6,99
6.6,99
6.5,99
6.6,99
6.5,99
5.8,99
6.5,99
6.2,99
6.4,99
6.4,99
6.8,99
7.1,99
7.3,99
8,99
7.9,99
8.2,99
7.9,99
7.4,99
7.1,99
7.9,99
7.5,99
7.3,99
7,99
7.4,99
7,99
7.2,99
6.6,99
6.4,99
6.4,99
6.3,99
6.5,99
5.9,99
6.5,99
6.4,99
5.9,99
7,99
7.4,99
7,99
6.4,99
6.4,99
6.4,99
6,99
5.7,99
5.1,99
4.6,99
5.4,99
5,99
5,99
4.4,99
4.8,99
5,99
5.2,99
5.6,99
5.9,99
5.7,99
5.4,99
5.4,99
5.5,99
6.1,99
6.4,99
6.8,99
5.8,99
6.1,99
6.1,99
6.4,99
5.8,99
6.2,99
6.4,99
6.1,99
6,99
6.4,99
6.5,99
6.5,99
6.1,99
5.8,99
6,99
6.5,99
6.4,99
6.6,99
6.1,99
6.3,99
5.2,99
5.5,99
5.2,99
5.8,99
5.5,99
5.5,99
5.4,99
6.2,99
5.8,99
5.9,99
5.5,99
5.9,99
5.6,99
5.5,99
5.1,99
5.2,99
6,99
5.3,99
5.4,99
5.6,99
5.7,99
5.6,99
5.6,99
6.3,99
5.7,99
5.9,99
6.3,99
6.5,99
6.5,99
6.8,99
7.4,99
6.7,99
6,99
6.4,99
6.7,99
6.8,99
6.5,99
6.7,99
6.6,99
6.7,99
6.9,99
7.1,99
6.5,99
7,99
6.9,99
7.2,99
7,99
7.3,99
6.9,99
7.1,99
7.3,99
7.1,99
7.5,99
6.8,99
7,99
7.1,99
6.7,99
6.4,99
6.3,99
6.4,99
6.3,99
6,99
6,99
5.8,99
6.4,99
6.6,99
6.5,99
7.1,99
6.3,99
6.4,99
7.1,99
7.2,99
5.9,99
5.9,99
6.9,99
7.3,99
7.4,99
7.2,99
7.7,99
7.3,99
6.8,99
6.7,99
6.5,99
7.1,99
7.2,99
7.2,99
7.6,99
7,99
7,99
6.6,99
6.6,99
6.5,99
7.1,99
7.5,99
8,99
7.3,99
7.5,99
7,99
7,99
6.2,99
6.3,99
7,99
6.8,99
7.3,99
7.4,99
7.3,99
6.2,99
6.2,99
6.9,99
6.9,99
6.7,99
6.8,99
6.7,99
7.2,99
6.5,99
7,99
6.8,99
6.9,99
7.4,99
7,99
8.1,99
7.7,99
7.7,99
7.7,99
7.9,99
8.2,99
8.6,99
8.2,99
8.7,99
8.6,99
8.9,99
8.9,99
9,99
8.9,99
8.4,99
9,99
8.9,99
8.9,99
8.9,99
9.4,99
9.2,99
9.1,99
9.2,99
8.9,99
9.1,99
9.2,99
9.2,99
9.4,99
9.3,99
9.7,99
10,99
10,99
9.9,99
9.7,99
9.1,99
10,99
9.2,99
9.6,99
9.7,99
10.1,99
10.4,99
10.2,99
10.9,99
11.3,99
10.5,99
9.7,99
10,99
10.2,99
10.4,99
10.3,99
10.6,99
10.4,99
11,99
11.3,99
11.2,99
11.3,99
11.3,99
11.5,99
12.2,99
12.1,99
11.4,99
10.8,99
11.4,99
11.3,99
12.4,99
12.1,99
12.7,99
12.5,99
12.8,99
13.1,99
12.9,99
13,99
12.9,99
12.8,99
12.9,99
12.5,99
12.3,99
12,99
11.9,99
12.4,99
12.2,99
13,99
13.2,99
12.3,99
11.8,99
12,99
11.3,99
11.1,99
10.8,99
11,99
10.4,99
10.8,99
11.1,99
11.7,99
11.3,99
10.9,99
10.9,99
11.3,99
11.1,99
10.9,99
10.8,99
10.5,99
10.5,99
10.5,99
10.3,99
10.6,99
9.7,99
9.8,99
10.1,99
9.8,99
9.6,99
9.5,99
9.6,99
10,99
9.8,99
10,99
9.8,99
10.1,99
9.8,99
10.4,99
9.7,99
10.3,99
10.7,99
10.3,99
9.9,99
9.8,99
9.8,99
10.3,99
10.1,99
10.3,99
9.9,99
10.3,99
10.2,99
10.1,99
10.3,99
10.6,99
10.9,99
10.5,99
9.7,99
10.2,99
11.8,99
11.1,99
11.3,99
11.4,99
11.4,99
11.1,99
10.9,99
10.6,99
11,99
10.5,99
10.9,99
10.9,99
10.2,99
11,99
10.3,99
10,99
10.4,99
10.5,99
9.7,99
10,99
9.8,99
9.8,99
10.6,99
10.1,99
10.7,99
10.7,99
10.5,99
10.5,99
10.1,99
10.7,99
10.5,99
10.8,99
9.7,99
9.5,99
9.8,99
9.5,99
9.3,99
10.3,99
9.9,99
9.6,99
9.9,99
10.4,99
9.7,99
10.4,99
10.3,99
10.7,99
10.7,99
10.6,99
10.1,99
9.8,99
10,99
10.2,99
9.8,99
9.9,99
9.9,99
10,99
10.2,99
10.1,99
10.3,99
10.4,99
10.2,99
10.6,99
10.4,99
10.2,99
10,99
10.5,99
10.2,99
10.3,99
10.1,99
9.7,99
9.9,99
10.3,99
10.6,99
10.7,99
11.2,99
10.9,99
10.4,99
10.6,99
10.6,99
9.9,99
9.6,99
9.6,99
9.8,99
10,99
10,99
10.1,99
10,99
9.4,99
9.1,99
9.5,99
9.4,99
8.9,99
8.6,99
8.7,99
8.4,99
7.3,99
7.1,99
7,99
7.8,99
8.4,99
8.2,99
7.7,99
7.8,99
7.5,99
7.3,99
6.6,99
6.5,99
7.1,99
7.4,99
7.3,99
6.9,99
6.5,99
5.6,99
6.2,99
6.4,99
6.4,99
6.3,99
6.6,99
6.6,99
6.3,99
6,99
5.7,99
5.7,99
5.7,99
5.7,99
5.2,99
5.4,99
5.8,99
5.4,99
5,99
5.4,99
4.6,99
4.9,99
4.4,99
4.7,99
4.4,99
4.9,99
4.3,99
4.3,99
3.8,99
4.2,99
3.6,99
4.2,99
3.7,99
4,99
3.9,99
4.4,99
4.5,99
4,99
3.9,99
3.5,99
3.4,99
3.6,99
3.9,99
4.1,99
3.5,99
3.6,99
4,99
3.9,99
3.9,99
4.2,99
4,99
4.3,99
3.8,99
4.2,99
4.1,99
4.7,99
5.1,99
5.1,99
4.9,99
4.8,99
4.9,99
4.3,99
3.8,99
4.2,99
4,99
4.3,99
4.2,99
4,99
4.1,99
4.5,99
4.1,99
3.8,99
3.1,99
3.4,99
3.4,99
3.6,99
4.2,99
4.1,99
3.9,99
4.2,99
4.5,99
4.5,99
4.7,99
4.3,99
5,99
5.4,99
5.7,99
5.3,99
5.4,99
5.7,99
5.2,99
5.4,99
6.2,99
6,99
6.1,99
6.3,99
6,99
5.7,99
6.1,99
6.4,99
6.3,99
5.9,99
5.8,99
5.4,99
5.3,99
5.6,99
5.4,99
5.8,99
5.7,99
5.8,99
6.5,99
6.5,99
6.1,99
5.6,99
6.1,99
6.3,99
6.2,99
6.9,99
7.5,99
7.2,99
7.1,99
7,99
7,99
7.6,99
7.3,99
7.3,99
7.3,99
6.9,99
7.3,99
4.8,99
5.4,99
5.1,99
4.8,99
5.2,99
7.1,99
7.1,99
6.8,99
6.7,99
6.6,99
6.5,99
6.4,99
6.7,99
6.9,99
6.3,99
5.8,99
6.5,99
5.8,99
4.7,99
4.7,99
5,99
6.4,99
6.3,99
5.7,99
5.6,99
5.1,99
6.7,99
6.8,99
7.3,99
7.8,99
5,99
4.5,99
7.5,99
6.6,99
6.3,99
7.7,99
7.3,99
7.5,99
7.4,99
7.7,99
7.7,99
7.8,99
8.4,99
7.6,99
6.9,99
7.6,99
7.7,99
6.9,99
7.3,99
6.6,99
10.2,99
9.3,99
8.2,99
8,99
7.8,99
8.8,99
8.8,99
9.2,99
9.3,99
9.4,99
9.9,99
9.3,99
9,99
8.6,99
9.3,99
9.4,99
11.3,99
10.3,99
10.2,99
10.6,99
10.4,99
9.8,99
9.7,99
9.5,99
10,99
10.4,99
9.8,99
9.9,99
9.9,99
10,99
10.1,99
9.9,99
9.5,99
10,99
10.2,99
10.7,99
10.7,99
10.7,99
10.2,99
10.4,99
9.9,99
9.7,99
9.5,99
9.5,99
9.2,99
8.9,99
8.6,99
8.7,99
8.3,99
8.5,99
8.9,99
9.1,99
8.5,99
8.8,99
8.9,99
8.5,99
8.7,99
8.9,99
8.5,99
8.7,99
8.9,99
9.3,99
9.2,99
8.9,99
9,99
8.7,99
8.8,99
8.6,99
9,99
8.7,99
8.6,99
8.5,99
9.6,99
9.5,99
10,99
8.8,99
8.9,99
9.3,99
9,99
9.1,99
8.5,99
8.7,99
8.7,99
8.3,99
8.3,99
8.7,99
8.5,99
8,99
8.1,99
8.4,99
8.4,99
8.2,99
8,99
7.7,99
7.8,99
7.8,99
7.5,99
8,99
7.4,99
7.3,99
8.1,99
7.8,99
7.1,99
6.6,99
6,99
7.2,99
8.7,99
9.4,99
8.9,99
9.5,99
8.8,99
8.6,99
7.7,99
8.4,99
7.8,99
8.3,99
7.3,99
7.6,99
7.3,99
8.2,99
8.1,99
7.9,99
8.2,99
7.8,99
7.8,99
7.9,99
7.8,99
7.3,99
8.3,99
8.6,99
8.3,99
7.6,99
8,99
7.7,99
7.2,99
7.5,99
7,99
7.2,99
7.2,99
6.7,99
7.2,99
7.1,99
7.1,99
7.6,99
8,99
8.5,99
8.7,99
8.7,99
8.9,99
8.9,99
9.7,99
9.9,99
10,99
10.1,99
10.1,99
10.2,99
10.4,99
10.4,99
10.2,99
9.9,99
10,99
9.9,99
9.7,99
9.8,99
10.1,99
10.4,99
9.7,99
9.6,99
9.8,99
9.7,99
9.5,99
9.8,99
10,99
9.8,99
9,99
9.3,99
9.7,99
10.2,99
9.5,99
9.8,99
10.1,99
10.2,99
10.3,99
10.5,99
10.4,99
10.6,99
10.1,99
10.6,99
10.7,99
10.9,99
11.1,99
11.3,99
11,99
10.9,99
11.5,99
10.9,99
10.4,99
10.3,99
9.9,99
9.9,99
9.8,99
9.7,99
10.2,99
9.9,99
10.1,99
10.7,99
10.5,99
9.8,99
9.9,99
10,99
10.2,99
9.9,99
9.6,99
10.2,99
10.6,99
9.8,99
10.1,99
10.1,99
10.4,99
10.6,99
10.7,99
10.4,99
10.2,99
10,99
10,99
10.1,99
10.2,99
10.4,99
10.1,99
10.2,99
10.5,99
10.2,99
9.8,99
10,99
9.9,99
10.5,99
9.7,99
9.7,99
9.8,99
9.3,99
10.1,99
10.6,99
10.9,99
10.8,99
10.6,99
11,99
10.2,99
10,99
9.7,99
9.9,99
9.9,99
10.8,99
10.5,99
10.5,99
10.2,99
10.6,99
10.9,99
11.3,99
10.9,99
10.9,99
10.9,99
11,99
10.7,99
10.8,99
10.5,99
10.6,99
10.9,99
10.6,99
10.6,99
11,99
10.7,99
10.4,99
10.9,99
11.3,99
10.8,99
10.5,99
10.5,99
10.4,99
10.5,99
10,99
9.4,99
9.5,99
9.6,99
9.6,99
10.7,99
10.1,99
9.8,99
10.2,99
10.3,99
9.8,99
9.9,99
10,99
10.3,99
10.4,99
9.8,99
10,99
10.4,99
10.5,99
10.1,99
10.3,99
10.6,99
10.4,99
10.4,99
10,99
10,99
9.9,99
9.8,99
9.3,99
9.4,99
10.3,99
10.9,99
10.5,99
10.4,99
10.7,99
10.6,99
10.3,99
10.4,99
10.5,99
10.1,99
9.7,99
9.7,99
9.6,99
9.7,99
9.8,99
10,99
10.3,99
10.4,99
10.9,99
10.7,99
11.1,99
10.9,99
10.8,99
10.4,99
10.4,99
10.6,99
10.1,99
10.8,99
10.5,99
11,99
10.4,99
10,99
9.9,99
10.2,99
9.8,99
9.4,99
8.5,99
7,99
7.6,99
7.3,99
8.6,99
9.6,99
10.4,99
9.6,99
9.7,99
9.8,99
9.8,99
9.3,99
8.9,99
9.6,99
8.6,99
9.4,99
9.2,99
8.8,99
8.2,99
8.3,99
8.3,99
8.3,99
8.6,99
8.2,99
8.7,99
8.9,99
8.8,99
9.6,99
8.6,99
9.5,99
10.2,99
10.5,99
10.3,99
10.7,99
10.3,99
10.6,99
9.8,99
9.9,99
10,99
9.5,99
10.3,99
11,99
11.3,99
11.4,99
10.9,99
11.3,99
12.1,99
11.8,99
12,99
12.1,99
12.4,99
12.1,99
11.8,99
11.2,99
11.1,99
10.8,99
9.6,99
10.5,99
10.4,99
10.5,99
10.7,99
9.9,99
9.5,99
9.9,99
9.5,99
10.3,99
10.5,99
10.3,99
10.7,99
10.7,99
10.3,99
10.2,99
9.7,99
9.8,99
9.8,99
9.4,99
9.1,99
8.8,99
9.6,99
10.4,99
10.1,99
9.2,99
9.2,99
9.2,99
9.2,99
9.7,99
9.4,99
9.2,99
9.5,99
9.4,99
9.4,99
9,99
9.1,99
9.1,99
9.1,99
8.7,99
7.9,99
8.5,99
8.4,99
7.8,99
7.8,99
8.4,99
8,99
8.2,99
7.9,99
8,99
8.6,99
8.4,99
8.8,99
8.3,99
8.7,99
8.6,99
8.9,99
8.8,99
8.9,99
8.5,99
8.6,99
8.5,99
8.5,99
8.5,99
8.4,99
7.7,99
8.5,99
8.6,99
8.4,99
8.8,99
8.9,99
8.3,99
8.1,99
8,99
7.9,99
7.9,99
8,99
8.1,99
7.7,99
8,99
8.1,99
8.1,99
8.4,99
8.5,99
8.6,99
8.5,99
8.7,99
9.1,99
8.4,99
8.4,99
8.2,99
8.5,99
9,99
10.2,99
9.8,99
9.8,99
10.2,99
10.1,99
9.2,99
9.2,99
9.1,99
8.7,99
8.1,99
7.9,99
7,99
6.9,99
5.9,99
2,99
3.5,99
2.9,99
6,99
7.2,99
8.1,99
7.2,99
6.4,99
5.2,99
5,99
5,99
4.7,99
5,99
5,99
4.5,99
4.7,99
5.2,99
5.3,99
6.3,99
6.5,99
6.5,99
7,99
8.1,99
8.7,99
9.3,99
9.2,99
10.1,99
10.2,99
9.9,99
9.8,99
10.3,99
10.5,99
10.8,99
11.1,99
11.8,99
12,99
11.7,99
11.8,99
11.8,99
11.5,99
11.4,99
11,99
11.3,99
11.4,99
10.7,99
10.9,99
10.8,99
10.8,99
10.8,99
10.6,99
10.3,99
9.9,99
10.1,99
10.3,99
9.9,99
9.8,99
9.7,99
10.2,99
9.8,99
10,99
9.8,99
9.8,99
9.6,99
9.9,99
10.8,99
11,99
10.6,99
10.3,99
9.9,99
10,99
9.8,99
9.6,99
9.8,99
10.2,99
10.7,99
10.6,99
10.7,99
11,99
11.1,99
10.9,99
10.9,99
11,99
10.5,99
10.2,99
10.1,99
9.7,99
9.3,99
9.2,99
8.9,99
9,99
9.1,99
9.1,99
8.9,99
9.5,99
9.2,99
8.8,99
8.6,99
8.3,99
8,99
7.8,99
7.8,99
8,99
8,99
8,99
8.1,99
7.9,99
8.2,99
7.8,99
7.9,99
8.5,99
8,99
7.7,99
7.9,99
7.9,99
7.7,99
7.5,99
7.3,99
7.3,99
6.6,99
6.9,99
6.6,99
6.6,99
6.4,99
6.3,99
6.1,99
6.2,99
6.2,99
5.6,99
5.3,99
5.6,99
6,99
6.6,99
6.8,99
6.7,99
6.7,99
6.1,99
6.1,99
5.9,99
5.5,99
5.3,99
4.5,99
4.8,99
5.4,99
5.8,99
6.4,99
7.4,99
6.3,99
6.5,99
7,99
6.3,99
6.5,99
6.6,99
6.9,99
7.1,99
7.1,99
7.5,99
6.9,99
6.8,99
6.5,99
6.7,99
6.6,99
6.6,99
6.5,99
5.9,99
6,99
6.5,99
6.6,99
6.6,99
6.2,99
6.5,99
6,99
6.1,99
6.4,99
6.8,99
7,99
6.2,99
6.6,99
6.1,99
6.4,99
6.3,99
6.1,99
5.8,99
6,99
6.2,99
6,99
6.7,99
7.5,99
7.4,99
7.1,99
